pitcher_id,player_name
686218,Emmet Sheehan
641540,Dane Dunning
681517,Kyle Leahy
669796,Jose Hernandez
660906,Francisco Pérez
664028,Brett Kennedy
640451,Hunter Harvey
672710,Roansy Contreras
669084,Dl Hall
657571,Caleb Ferguson
643396,Isiah Kiner-falefa
554430,Zack Wheeler
674370,Osvaldo Bido
641703,Brent Honeywell
595978,Austin Hedges
669684,Chris Murphy
669461,Matthew Liberatore
518617,Jake Diekman
543037,Gerrit Cole
623437,Justin Topa
548389,Ross Stripling
548384,Brooks Raley
455119,Chris Martin
666808,Camilo Doval
623433,Nick Anderson
572403,Drew Verhagen
663658,Thaddeus Ward
672851,Joan Adon
675989,Cody Bolton
621219,Alec Mills
669952,Mitch White
592773,Ryne Stanek
608379,Michael Wacha
681882,Colin Selby
622772,Jimmy Cordero
690986,Kyle Harrison
622103,Gerardo Reyes
669947,Jesse Scholtens
621244,José Berríos
663855,Jordan Hicks
608371,Lucas Sims
680686,Josiah Gray
663986,Trevor Stephan
608331,Max Fried
664129,Geoff Hartlieb
660431,Hector Perez
664199,Taylor Clarke
660825,Eduard Bazardo
661527,Seth Martinez
663776,Patrick Sandoval
518489,Ryan Brasier
615698,Cal Quantrill
570257,Joely Rodríguez
675627,Michael Grove
657697,Vinny Nittoli
608344,Cole Irvin
666721,Max Castillo
605498,Andrew Suárez
605135,Chris Bassitt
450203,Charlie Morton
622663,Luis Severino
656578,Andre Jackson
571901,Aaron Loup
641656,Ian Hamilton
657093,Spenser Watkins
572020,James Paxton
547973,Aroldis Chapman
641672,Thomas Hatch
543339,Daniel Hudson
425844,Zack Greinke
676206,Freddy Tarnok
676092,Collin Snider
593619,Domingo Tapia
623167,Chris Flexen
674285,Eduardo Salazar
670059,Colin Holderman
640455,Sean Manaea
645801,Mike Ford
606965,Chris Devenski
670970,Adrián Morejón
571863,Matt Koch
682847,Luis Ortiz
656427,Jack Flaherty
502085,David Robertson
642528,Jonathan Loáisiga
458681,Lance Lynn
701643,Grant Hartwig
622065,Alex Young
668470,Hagen Danner
641585,J. p. France
676265,Cory Abbott
663546,Sean Hjelle
663556,Shane Mcclanahan
666204,Dany Jiménez
628317,Kenta Maeda
666129,Braxton Garrett
605242,Michael Fulmer
686651,Levi Stoudt
668678,Zac Gallen
663903,Brady Singer
607457,Kyle Barraclough
666720,Yerry Rodríguez
623352,Josh Hader
661403,Emmanuel Clase
518876,Merrill Kelly
543859,Michael Tonkin
605446,Dereck Rodríguez
642397,Gregory Soto
656605,Mitch Keller
547943,Hyun jin Ryu
642231,Jimmy Yacabonis
571466,Tucker Barnhart
643377,Griffin Jax
656629,Michael Kopech
628708,Yunior Marte
664747,Alexis Díaz
622259,Trey Wingenter
