weather_id,park_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
290,BOS07,2023-08-06,82.4,59.2,0.0,7.6,64
291,BOS07,2023-08-07,77.1,63.5,0.024,12.8,78
292,BOS07,2023-08-08,81.4,68.9,0.78,12.8,88
293,BOS07,2023-08-09,82.6,66.5,0.059,16.3,70
294,BOS07,2023-08-10,82.6,64.7,0.24,13.7,74
295,BOS07,2023-08-11,80.1,64.0,0.004,16.4,70
296,BOS07,2023-08-12,81.5,59.3,0.0,9.0,71
297,BOS07,2023-08-13,85.2,70.1,0.067,11.5,78
298,BOS07,2023-08-14,83.1,64.8,0.004,13.3,66
299,BOS07,2023-08-15,71.7,66.2,0.63,11.3,90
300,BOS07,2023-08-16,70.6,64.8,0.146,8.4,90
301,BOS07,2023-08-17,72.2,63.4,0.0,10.5,91
302,BOS07,2023-08-18,81.0,64.9,0.622,11.2,88
303,BOS07,2023-08-19,72.7,59.9,0.0,15.3,69
304,BOS07,2023-08-20,82.5,61.4,0.0,10.1,66
305,BOS07,2023-08-21,84.8,65.2,0.311,8.7,75
306,BOS07,2023-08-22,77.3,60.7,0.008,10.3,63
307,BOS07,2023-08-23,75.3,56.5,0.0,7.9,63
308,BOS07,2023-08-24,78.1,56.1,0.008,11.4,66
309,BOS07,2023-08-25,73.0,62.4,1.346,16.6,91
310,BOS07,2023-08-26,82.3,69.2,0.028,9.9,82
311,BOS07,2023-08-27,73.4,63.0,0.114,9.6,89
312,BOS07,2023-08-28,73.7,59.7,0.0,10.3,88
313,BOS07,2023-08-29,74.5,63.4,0.012,10.9,89
314,BOS07,2023-08-30,81.1,65.7,0.972,16.1,83
315,BOS07,2023-08-31,71.7,60.3,0.0,13.2,65
316,CHI11,2023-06-30,81.4,70.2,0.075,14.4,92
317,CHI11,2023-07-01,78.9,69.1,0.579,10.8,95
318,CHI11,2023-07-02,70.0,61.6,4.488,27.1,99
319,CHI11,2023-07-03,72.8,62.0,0.0,12.1,82
320,CHI11,2023-07-04,83.3,65.4,0.004,12.2,80
321,CHI11,2023-07-05,82.8,69.1,1.835,12.1,89
322,CHI11,2023-07-06,70.6,64.3,0.031,13.0,88
323,CHI11,2023-07-07,72.5,63.7,0.004,11.2,79
324,CHI11,2023-07-08,68.6,63.5,0.417,12.1,83
325,CHI11,2023-07-09,77.4,59.7,0.008,11.0,75
326,CHI11,2023-07-10,84.5,62.9,0.0,14.7,66
327,CHI11,2023-07-11,83.1,65.6,0.315,12.9,76
328,CHI11,2023-07-12,74.0,62.8,1.724,21.2,86
329,CHI11,2023-07-13,73.2,60.9,0.0,10.4,84
330,CHI11,2023-07-14,87.3,67.2,0.091,16.4,78
331,CHI11,2023-07-15,81.6,68.8,0.224,9.9,84
332,CHI11,2023-07-16,81.9,66.1,0.0,17.7,66
333,CHI11,2023-07-17,72.6,65.1,0.0,13.2,75
334,CHI11,2023-07-18,72.1,62.2,0.0,10.3,74
335,CHI11,2023-07-19,76.4,60.8,0.0,9.8,80
336,CHI11,2023-07-20,85.4,67.5,0.039,18.7,72
337,CHI11,2023-07-21,73.7,65.1,0.0,13.5,79
338,CHI11,2023-07-22,82.1,63.3,0.0,8.1,70
339,CHI11,2023-07-23,77.1,64.4,0.0,10.6,81
