date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-07-24,86.1,63.9,0.0,10.9,77,ANA01
2023-07-25,91.9,63.8,0.0,11.2,67,ANA01
2023-07-26,95.4,65.0,0.0,10.1,55,ANA01
2023-07-27,94.8,64.1,0.0,9.8,63,ANA01
2023-07-28,86.8,64.1,0.0,11.1,75,ANA01
2023-07-29,90.6,63.0,0.0,11.5,74,ANA01
2023-07-30,87.4,66.6,0.0,9.3,78,ANA01
2023-07-31,97.0,67.4,0.0,13.7,66,ANA01
2023-08-01,89.7,69.0,0.004,10.1,63,ANA01
2023-08-02,85.9,64.7,0.0,10.8,68,ANA01
2023-08-03,83.9,62.0,0.0,11.5,68,ANA01
2023-08-04,83.4,62.9,0.0,10.2,73,ANA01
2023-08-05,87.8,61.9,0.0,10.1,73,ANA01
2023-08-06,89.9,62.6,0.0,11.1,75,ANA01
2023-08-07,87.1,59.8,0.0,12.3,70,ANA01
2023-08-08,83.5,62.6,0.016,10.8,72,ANA01
2023-08-09,79.6,66.7,0.055,9.4,78,ANA01
2023-08-10,77.5,67.5,0.173,9.2,78,ANA01
2023-08-11,79.6,67.1,0.0,10.2,74,ANA01
2023-08-12,82.5,62.4,0.0,9.9,75,ANA01
2023-08-13,81.9,63.9,0.0,10.8,77,ANA01
2023-08-14,83.4,64.4,0.0,10.9,77,ANA01
2023-08-15,87.8,63.0,0.0,10.8,74,ANA01
2023-08-16,92.4,65.8,0.0,10.1,67,ANA01
2023-08-17,86.8,62.1,0.0,10.5,73,ANA01
2023-08-18,86.9,62.1,0.0,10.2,73,ANA01
2023-08-19,79.6,60.7,0.0,11.8,71,ANA01
2023-08-20,80.9,70.1,1.945,26.2,83,ANA01
2023-08-21,77.5,65.7,0.283,12.6,81,ANA01
2023-08-22,80.3,63.3,0.0,8.6,83,ANA01
2023-08-23,80.4,64.2,0.0,7.6,84,ANA01
2023-08-24,77.2,63.6,0.0,7.4,87,ANA01
2023-08-25,80.2,59.5,0.0,8.9,85,ANA01
2023-08-26,82.9,62.2,0.0,7.6,82,ANA01
2023-08-27,88.5,62.1,0.0,7.1,71,ANA01
2023-08-28,91.5,64.8,0.0,7.7,67,ANA01
2023-08-29,94.1,63.1,0.0,8.3,65,ANA01
2023-08-30,93.5,65.7,0.0,9.5,66,ANA01
2023-08-31,82.4,65.4,0.0,11.4,81,ANA01
2023-06-30,98.7,79.8,0.0,13.3,52,ARL01
2023-07-01,92.7,77.4,0.0,13.5,57,ARL01
2023-07-02,91.1,73.1,0.26,11.8,69,ARL01
2023-07-03,96.3,76.2,0.441,16.0,62,ARL01
2023-07-04,95.4,74.7,0.083,15.1,68,ARL01
2023-07-05,95.2,79.5,0.008,11.9,60,ARL01
2023-07-06,94.6,79.1,0.0,15.5,62,ARL01
2023-07-07,95.5,77.5,0.0,16.2,60,ARL01
2023-07-08,97.2,79.1,0.28,12.8,62,ARL01
2023-07-09,90.3,78.7,1.291,12.3,75,ARL01
2023-07-10,91.8,75.5,0.528,10.3,80,ARL01
2023-07-11,94.7,76.5,0.701,14.2,75,ARL01
2023-07-12,102.2,81.8,0.0,15.7,55,ARL01
2023-07-13,103.2,81.5,0.0,17.3,55,ARL01
2023-07-14,103.1,81.9,0.0,15.9,49,ARL01
2023-07-15,98.8,81.9,0.028,15.9,57,ARL01
2023-07-16,90.6,76.1,0.5,11.3,75,ARL01
2023-07-17,104.2,76.8,0.0,14.8,51,ARL01
2023-07-18,107.3,83.7,0.0,16.1,38,ARL01
2023-07-19,105.1,83.0,0.0,15.3,42,ARL01
2023-07-20,102.3,82.1,0.0,14.8,46,ARL01
2023-07-21,101.6,82.6,0.0,11.8,44,ARL01
2023-07-22,93.2,77.6,0.0,14.2,53,ARL01
2023-07-23,95.9,72.1,0.0,10.8,50,ARL01
2023-07-24,101.3,77.0,0.0,13.5,43,ARL01
2023-07-25,103.1,81.0,0.0,13.7,39,ARL01
2023-07-26,101.7,81.5,0.0,11.7,41,ARL01
2023-07-27,101.2,81.6,0.0,13.1,38,ARL01
2023-07-28,101.1,82.0,0.0,9.7,38,ARL01
2023-07-29,101.1,81.7,0.0,9.4,37,ARL01
2023-07-30,102.6,80.4,0.0,7.2,34,ARL01
2023-07-31,105.2,82.5,0.0,10.6,35,ARL01
2023-08-01,106.7,83.7,0.0,12.4,38,ARL01
2023-08-02,106.2,87.3,0.0,12.0,35,ARL01
2023-08-03,105.9,85.2,0.0,13.5,34,ARL01
2023-08-04,104.7,84.8,0.0,13.5,39,ARL01
2023-08-05,106.2,86.3,0.0,13.4,37,ARL01
2023-08-06,104.7,86.1,0.0,13.5,38,ARL01
2023-08-07,103.6,84.9,0.0,15.0,42,ARL01
